scenario,phase,attachment_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,model,provider,attachment_marker_recall,first_fact_recall,memory_drift_recall,latency_budget_pass,cost_budget_pass,error
growing,multiturn,0,1,4,f472124d-1255-49ce-9eaa-af8a0968aa7f,59,0,8,0,304,2999,748,0.006739,8136.141605001285,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,1,5,f472124d-1255-49ce-9eaa-af8a0968aa7f,36,0,10,0,338,3722,777,0.007607,7165.968211999825,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,1,6,f472124d-1255-49ce-9eaa-af8a0968aa7f,47,0,12,0,389,4688,1037,0.009873,9692.643377999957,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,1,7,f472124d-1255-49ce-9eaa-af8a0968aa7f,67,0,12,0,396,5874,1248,0.012114,12159.045867000714,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,1,8,f472124d-1255-49ce-9eaa-af8a0968aa7f,47,0,12,0,546,6837,1579,0.014731999999999999,14919.05209000106,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,1,9,f472124d-1255-49ce-9eaa-af8a0968aa7f,47,0,12,0,721,7918,1717,0.016503,18204.8098030009,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,1,10,f472124d-1255-49ce-9eaa-af8a0968aa7f,57,0,12,0,971,8879,1783,0.017794,18963.013071000205,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,0,1,66f46dc0-a984-445e-8125-a6de07efbaba,94,0,2,0,247,957,476,0.003337,6007.967663999807,none,,claude-haiku-4-5,anthropic,,,,0,1,
pivot,multiturn,0,0,2,66f46dc0-a984-445e-8125-a6de07efbaba,39,0,4,0,282,1524,543,0.004239,5346.706115000416,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,0,3,66f46dc0-a984-445e-8125-a6de07efbaba,38,0,6,0,330,2131,661,0.005436,6150.412709999728,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,0,4,66f46dc0-a984-445e-8125-a6de07efbaba,41,0,8,0,366,2869,796,0.006849000000000001,6918.882285000109,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,0,5,66f46dc0-a984-445e-8125-a6de07efbaba,104,0,10,0,376,3550,710,0.0071,5387.858975999734,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,0,6,66f46dc0-a984-445e-8125-a6de07efbaba,36,0,12,0,424,4324,877,0.008709,8018.72320000075,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,0,7,66f46dc0-a984-445e-8125-a6de07efbaba,50,0,12,0,512,5389,1144,0.011109,11674.527442999533,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,0,8,66f46dc0-a984-445e-8125-a6de07efbaba,24,0,12,0,545,6142,1281,0.012546999999999999,14124.090979999892,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,0,9,66f46dc0-a984-445e-8125-a6de07efbaba,36,0,12,0,589,6946,1442,0.014155999999999998,12606.92425399975,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,0,10,66f46dc0-a984-445e-8125-a6de07efbaba,53,0,12,0,620,7924,1712,0.016484,18097.40067799885,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,1,1,155484c5-0868-4271-ab2b-94260f071341,94,0,2,0,315,963,485,0.0033879999999999995,6525.562585999978,none,,claude-haiku-4-5,anthropic,,,,0,1,
pivot,multiturn,0,1,2,155484c5-0868-4271-ab2b-94260f071341,39,0,4,0,347,1612,611,0.004667,11777.872214000126,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,1,3,155484c5-0868-4271-ab2b-94260f071341,38,0,6,0,443,2292,752,0.006052,5608.112815999448,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,1,4,155484c5-0868-4271-ab2b-94260f071341,41,0,8,0,479,3166,940,0.007866,6801.429947999168,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,1,5,155484c5-0868-4271-ab2b-94260f071341,104,0,10,0,489,4068,947,0.008803,5961.902755000665,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
pivot,multiturn,0,1,6,155484c5-0868-4271-ab2b-94260f071341,36,0,12,0,606,5030,1113,0.010595,8358.800422000058,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,1,7,155484c5-0868-4271-ab2b-94260f071341,50,0,12,0,684,6227,1305,0.012752000000000001,10646.682374000193,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,1,8,155484c5-0868-4271-ab2b-94260f071341,24,0,12,0,705,7115,1471,0.01447,11979.611835000469,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,1,9,155484c5-0868-4271-ab2b-94260f071341,36,0,12,0,770,7994,1604,0.016014,13514.029261999895,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
pivot,multiturn,0,1,10,155484c5-0868-4271-ab2b-94260f071341,53,0,12,0,770,8660,1487,0.016095,15761.47126900014,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
contradiction,multiturn,0,0,1,b291a874-c382-4044-b369-71f191812850,73,0,2,0,310,861,393,0.0028260000000000004,5557.117766999909,none,,claude-haiku-4-5,anthropic,,,,0,1,
contradiction,multiturn,0,0,2,b291a874-c382-4044-b369-71f191812850,34,0,4,0,482,1407,528,0.004047,5416.455774000497,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
contradiction,multiturn,0,0,3,b291a874-c382-4044-b369-71f191812850,33,0,6,0,654,1941,606,0.004971,6362.661312000455,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
contradiction,multiturn,0,0,4,b291a874-c382-4044-b369-71f191812850,32,0,8,0,863,2617,773,0.006482,8850.54434400081,none,,claude-haiku-4-5,anthropic,,1,0.667,0,1,
contradiction,multiturn,0,0,5,b291a874-c382-4044-b369-71f191812850,38,0,10,0,1082,3396,912,0.007956,8084.468483999444,none,,claude-haiku-4-5,anthropic,,1,0.75,0,1,
contradiction,multiturn,0,0,6,b291a874-c382-4044-b369-71f191812850,42,0,12,0,1155,4359,1138,0.010049,9824.55311800004,none,,claude-haiku-4-5,anthropic,,1,0.8,0,0,
contradiction,multiturn,0,0,7,b291a874-c382-4044-b369-71f191812850,46,0,12,0,1481,5394,1299,0.011889,11417.914540999845,none,,claude-haiku-4-5,anthropic,,1,0.833,0,0,
contradiction,multiturn,0,0,8,b291a874-c382-4044-b369-71f191812850,67,0,12,0,1468,6204,1339,0.012899,12846.00976099955,none,,claude-haiku-4-5,anthropic,,1,0.857,0,0,
contradiction,multiturn,0,1,1,10995f62-180d-403f-b425-751b348a989f,73,0,2,0,253,909,422,0.003019,5416.968667999754,none,,claude-haiku-4-5,anthropic,,,,0,1,
contradiction,multiturn,0,1,2,10995f62-180d-403f-b425-751b348a989f,34,0,4,0,284,1450,516,0.004030000000000001,4454.01921299981,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
contradiction,multiturn,0,1,3,10995f62-180d-403f-b425-751b348a989f,33,0,6,0,284,1963,540,0.004663,5265.9856700011005,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
contradiction,multiturn,0,1,4,10995f62-180d-403f-b425-751b348a989f,32,0,8,0,343,2636,737,0.006321,6755.854365999767,none,,claude-haiku-4-5,anthropic,,1,0.667,0,1,
contradiction,multiturn,0,1,5,10995f62-180d-403f-b425-751b348a989f,38,0,10,0,482,3535,962,0.008345,8995.120419000159,none,,claude-haiku-4-5,anthropic,,1,0.75,0,1,
contradiction,multiturn,0,1,6,10995f62-180d-403f-b425-751b348a989f,42,0,12,0,512,4656,1152,0.010416,16142.96391300013,none,,claude-haiku-4-5,anthropic,,1,0.8,0,0,
contradiction,multiturn,0,1,7,10995f62-180d-403f-b425-751b348a989f,46,0,12,0,555,5825,1256,0.012105,11409.950944998855,none,,claude-haiku-4-5,anthropic,,1,0.833,0,0,
contradiction,multiturn,0,1,8,10995f62-180d-403f-b425-751b348a989f,67,0,12,0,555,6737,1358,0.013527,14025.182764999954,none,,claude-haiku-4-5,anthropic,,1,0.857,0,0,
attachment,attachments,0,0,1,4a51188e-e30a-4d71-a28b-81564f7cd3ec,129,0,2,0,105,761,238,0.001951,3832.3718639994695,none,,claude-haiku-4-5,anthropic,,,,1,1,
attachment,attachments,0,1,1,2e72931e-c203-4d03-b53a-f0ac0b31e47d,129,0,2,0,105,715,192,0.001675,3218.663433999609,none,,claude-haiku-4-5,anthropic,,,,1,1,
attachment,attachments,5,0,1,5337baa6-3e1a-40c4-982b-1634eeccd0c9,5763,5632,2,0,307,3345,633,0.00651,9013.855133000106,none,,claude-haiku-4-5,anthropic,1,,,0,1,
attachment,attachments,5,1,1,b7c45264-3e2e-403d-bd3a-2011580242a0,5763,5632,2,0,392,3286,596,0.006266000000000001,9337.216367999645,none,,claude-haiku-4-5,anthropic,1,,,0,1,
attachment,attachments,20,0,1,1ae6ed22-de2a-4d97-af31-f90ed4fbdf3d,23108,22977,2,0,526,10117,638,0.013307,9238.931882999168,none,,claude-haiku-4-5,anthropic,1,,,0,0,
attachment,attachments,20,1,1,04df4abd-3589-497e-abb9-35909fa2764f,23108,22977,2,0,298,10092,577,0.012976999999999999,8974.314420000155,none,,claude-haiku-4-5,anthropic,1,,,0,0,
attachment,attachments,50,0,1,58a2dd9f-c108-4ed8-bef9-26afb70b30c8,56889,56758,2,0,462,23382,658,0.026672,9187.197078000281,none,,claude-haiku-4-5,anthropic,1,,,0,0,
attachment,attachments,50,1,1,8e718d73-c2ec-40c3-81e6-319a510c9a86,56889,56758,2,0,353,23441,701,0.026945999999999998,14219.923132000076,none,,claude-haiku-4-5,anthropic,1,,,0,0,
attachment,attachments,100,0,1,8af63f37-08ed-44aa-90f3-d43c964dbd6d,114435,114304,2,0,269,45884,564,0.048704,9062.77637599942,none,,claude-haiku-4-5,anthropic,1,,,0,0,
attachment,attachments,100,1,1,cc44569c-9d86-49a8-b992-476c882b56fe,114435,114304,2,0,248,45965,640,0.049165,9485.59969300004,none,,claude-haiku-4-5,anthropic,1,,,0,0,
